,country,fuel_type,year,1K_tonne_oil_equivalent
515,Malta,Biogases,2008,0.000
516,Netherlands,Biogases,2008,0.000
517,Austria,Biogases,2008,0.000
518,Poland,Biogases,2008,0.000
519,Portugal,Biogases,2008,0.000
520,Romania,Biogases,2008,0.000
521,Slovenia,Biogases,2008,0.000
522,Slovakia,Biogases,2008,0.000
523,Finland,Biogases,2008,0.000
524,Sweden,Biogases,2008,18.726
525,Iceland,Biogases,2008,0.310
526,Liechtenstein,Biogases,2008,:
527,Norway,Biogases,2008,0.000
528,Switzerland,Biogases,2008,:
529,United Kingdom,Biogases,2008,0.000
530,Montenegro,Biogases,2008,0.000
531,North Macedonia,Biogases,2008,0.000
532,Albania,Biogases,2008,0.000
533,Serbia,Biogases,2008,0.000
534,Turkey,Biogases,2008,0.000
535,Bosnia and Herzegovina,Biogases,2008,:
536,Kosovo (under United Nations Security Council Resolution 1244/99),Biogases,2008,0.000
537,Moldova,Biogases,2008,:
538,Ukraine,Biogases,2008,0.000
539,Georgia,Biogases,2008,:
540,European Union - 27 countries (from 2020),Pure biogasoline,2008,16.250
541,European Union - 28 countries (2013-2020),Pure biogasoline,2008,16.250
542,Euro area - 19 countries  (from 2015),Pure biogasoline,2008,4.500
543,Belgium,Pure biogasoline,2008,0.000
544,Bulgaria,Pure biogasoline,2008,0.000
545,Czechia,Pure biogasoline,2008,0.000
546,Denmark,Pure biogasoline,2008,0.000
547,Germany (until 1990 former territory of the FRG),Pure biogasoline,2008,4.500
548,Estonia,Pure biogasoline,2008,0.000
549,Ireland,Pure biogasoline,2008,0.000
550,Greece,Pure biogasoline,2008,0.000
551,Spain,Pure biogasoline,2008,0.000
552,France,Pure biogasoline,2008,0.000
553,Croatia,Pure biogasoline,2008,0.000
554,Italy,Pure biogasoline,2008,0.000
555,Cyprus,Pure biogasoline,2008,0.000
556,Latvia,Pure biogasoline,2008,0.000
557,Lithuania,Pure biogasoline,2008,0.000
558,Luxembourg,Pure biogasoline,2008,0.000
559,Hungary,Pure biogasoline,2008,0.000
560,Malta,Pure biogasoline,2008,0.000
