,country,fuel_type,year,1K_tonne_oil_equivalent
535,Bosnia and Herzegovina,Total,2009,:
536,Kosovo (under United Nations Security Council Resolution 1244/99),Total,2009,455.628
537,Moldova,Total,2009,:
538,Ukraine,Total,2009,"22,120.183"
539,Georgia,Total,2009,:
540,European Union - 27 countries (from 2020),Natural gas,2009,"84,550.214"
541,European Union - 28 countries (2013-2020),Natural gas,2009,"111,263.821"
542,Euro area - 19 countries  (from 2015),Natural gas,2009,"72,618.953"
543,Belgium,Natural gas,2009,"3,312.786"
544,Bulgaria,Natural gas,2009,50.795
545,Czechia,Natural gas,2009,"2,059.265"
546,Denmark,Natural gas,2009,637.602
547,Germany (until 1990 former territory of the FRG),Natural gas,2009,"21,849.460"
548,Estonia,Natural gas,2009,50.666
549,Ireland,Natural gas,2009,623.441
550,Greece,Natural gas,2009,255.931
551,Spain,Natural gas,2009,"3,665.672"
552,France,Natural gas,2009,"14,194.211"
553,Croatia,Natural gas,2009,568.057
554,Italy,Natural gas,2009,"16,820.701"
555,Cyprus,Natural gas,2009,0.000
556,Latvia,Natural gas,2009,102.794
557,Lithuania,Natural gas,2009,145.099
558,Luxembourg,Natural gas,2009,196.422
559,Hungary,Natural gas,2009,"3,181.642"
560,Malta,Natural gas,2009,0.000
561,Netherlands,Natural gas,2009,"8,342.277"
562,Austria,Natural gas,2009,"1,442.274"
563,Poland,Natural gas,2009,"3,221.002"
564,Portugal,Natural gas,2009,264.166
